#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2022/3/1,81.80576259,68.66011833,71.54576443,101.8899261,92.5952032,104.7482831,77.65716985,66.15983471,69.82606437,66.08145367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/1,106.4747904,93.66011818,99.24449222,118.2564947,112.7203349,125.3827614,106.5578246,91.24421731,99.06260328,88.6596188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/1,64.60969076,55.31107137,60.15339072,70.87061387,67.49187724,77.01034828,63.39283147,53.40420349,59.10869116,51.58215186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/6/1,96.03919938,80.83506285,88.36508172,102.1658375,100.3466724,108.4379148,97.63835574,77.40548616,89.142983,76.02132227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/1,124.7582629,106.7613695,114.9121174,136.7791275,130.6848968,133.9241428,121.0786813,104.0086316,111.9211938,102.7493887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/8/1,43.5462322,38.89154769,40.34932371,53.68587791,47.8448755,59.37241483,43.16629468,38.25893339,39.50340554,37.86429777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/9/1,109.8133056,104.0202384,105.5005063,118.3649031,112.3629198,118.2965631,105.8884602,101.03198,103.320073,98.74870229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/10/1,135.8264748,117.8646458,119.2622042,179.8099677,155.6254671,182.8620621,133.2098739,115.595723,118.1450194,115.032761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/1,124.5861326,118.2153587,116.9975439,138.3220145,132.275623,143.1517266,123.2403225,114.9715489,117.1220546,113.56378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/12/1,144.0402858,150.1254837,139.3752544,152.3991691,151.1736611,175.7344814,150.3309159,146.6986544,142.9218529,149.3216712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/1/1,82.23204883,73.53059676,70.23949504,97.63291887,90.28364502,111.1068916,79.85633607,69.19917689,71.17210619,70.76603175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/2/1,72.40266119,54.59494126,56.19686477,108.9990685,92.51504785,125.0068972,74.35158311,52.02785336,57.75213511,53.25563339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/3/1,75.60278816,63.96589507,67.09381507,91.26490603,83.95926678,92.94827655,71.38426313,61.75443083,65.15350614,61.40121377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/4/1,186.8212189,164.8066105,174.892202,205.9034271,196.8079085,220.0379362,187.2910667,159.9647166,174.3264272,155.1967116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/1,185.3671949,163.8429182,175.6889866,196.5913791,190.5087776,208.2482776,183.6636922,158.1708722,174.0671289,154.0953251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/6/1,77.58467828,63.80285762,70.94974508,79.14807969,78.43173797,72.93448724,73.22989031,61.13686143,69.94308632,59.15268705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/7/1,152.8994239,134.41417,143.1732191,162.3699967,157.3393683,154.7344779,147.5199301,131.3031576,139.5120492,130.4563265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/8/1,381.9654235,364.9550029,368.2264492,443.2533854,404.2975508,460.23104,374.9987906,360.2774834,362.0457844,362.0426403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/9/1,82.14661366,76.33637068,78.05661081,90.00259251,84.83664502,89.45172083,79.0043786,74.33949167,76.34034522,72.56533958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/10/1,65.18435751,56.85613168,57.31093128,87.88670917,75.47851916,92.56552531,64.77821309,55.63806154,56.93363783,55.48596325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
