#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2022/3/1,60.82944945,50.67690511,53.64135681,74.49439582,68.09198858,76.5620709,58.2475817,49.45375472,52.72210329,49.27105776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/1,52.110638,45.12648882,48.35415375,58.46552368,55.20790581,63.16552083,51.67923682,43.66133773,47.84761307,42.05268884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/1,78.88936205,67.57380775,73.70906961,84.13167145,81.16047106,86.30688828,76.34292497,65.46336282,72.57962588,63.23553326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/6/1,56.16713362,46.10726257,50.96211936,58.26292986,57.2835342,54.36551931,53.20475007,44.60473083,50.08130157,43.64766127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/1,181.6102563,160.8407136,169.4681406,201.7463183,191.9289031,204.0896559,180.887806,157.8724462,167.081103,158.70156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/8/1,198.225212,182.8335121,187.1312788,238.2970985,215.288607,259.3793234,199.2263476,181.0484226,185.1770318,181.5632598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/9/1,148.2892291,140.9393443,143.2772013,161.7659417,153.2125965,167.1448393,146.3687219,137.9349018,141.4081337,135.6928962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/10/1,102.3381262,88.26553309,89.31779987,137.978814,118.4411135,144.0965469,101.5408748,86.42462322,88.64791643,86.15736561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/1,109.7738452,100.384762,100.9499119,127.190034,119.8887668,134.4448241,111.2598683,99.51884671,102.8208324,98.52513549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/12/1,94.62457209,95.0277991,89.06178301,103.6250243,101.3965085,120.6793148,99.4450647,94.00863373,92.41295752,96.27330667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/1/1,42.5535803,35.97857262,35.25356016,53.5478706,48.41777785,62.46896259,42.22318304,35.14399571,36.45518452,35.92270364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/2/1,68.53844561,50.84125127,52.27508414,106.1738344,89.47017305,124.1689628,71.89255278,48.49316581,54.31890445,49.92339642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/3/1,51.92241737,42.04815642,44.80347349,65.71640948,59.16003258,66.45172586,49.01527076,41.17087134,43.85457169,41.14644774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/4/1,51.6708064,44.64273955,47.71881337,58.55960498,55.27960992,63.11724152,52.17355853,43.7218473,47.85650384,42.38648279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/1,103.1062051,89.31065733,97.07279805,108.4577324,105.081134,109.3793228,98.99459983,86.51029035,95.26103156,83.72131889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/6/1,58.2455354,47.17970388,52.70423855,61.59076253,60.59820609,61.45862028,57.59376201,45.29872559,52.82876029,44.05095197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/7/1,214.3131729,191.1374444,200.8021189,235.015887,225.0899157,239.5931072,213.4433896,186.5264302,197.6949234,187.1523485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/8/1,213.2111495,198.8668488,202.1783053,254.5844371,229.1224678,269.9793152,207.5894824,194.8223798,196.5214995,194.7757359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/9/1,126.9522514,120.6928004,122.7667814,133.8121563,128.9932993,133.7930997,123.405128,117.5509044,120.762756,115.0133431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/10/1,133.5364149,115.2116629,116.356185,180.7139218,155.1236628,189.5482855,133.3905953,113.0600578,115.9414091,113.2142085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
